CO,CDS,DISTRICT, Expenditures (EDP 365) , Current Expense ADA ,Current Expense Per ADA,LEA Type
04,61507,Oroville City Elementary," 21,867,820 ","2,439.2","8,965",Elementary
04,61515,Oroville Union High," 20,955,683 ","2,116.3","9,902",High School
04,61523,Palermo Union Elementary," 10,477,684 ","1,255.4","8,346",Elementary
04,61531,Paradise Unified," 29,765,191 ","3,269.1","9,105",Unified
04,61549,Thermalito Union Elementary," 11,194,593 ","1,289.5","8,682",Elementary
04,73379,Pioneer Union Elementary," 1,019,007 ",60.1,"16,969",Elementary
04,75507,Gridley Unified," 16,309,904 ","1,964.8","8,301",Unified
05,61556,Bret Harte Union High," 8,197,159 ",666.7,"12,295",High School
05,61564,Calaveras Unified," 24,813,483 ","2,988.0","8,304",Unified
05,61572,Mark Twain Union Elementary," 6,133,821 ",779.3,"7,871",Elementary
05,61580,Vallecito Union Elementary," 6,159,609 ",550.6,"11,186",Elementary
06,61598,Colusa Unified," 10,735,330 ","1,385.3","7,750",Unified
06,61606,Maxwell Unified," 2,996,280 ",325.9,"9,194",Unified
06,61614,Pierce Joint Unified," 10,099,324 ","1,357.7","7,438",Unified
06,61622,Williams Unified," 9,769,468 ","1,255.0","7,785",Unified
07,61630,Acalanes Union High," 58,362,101 ","5,097.9","11,448",High School
07,61648,Antioch Unified," 146,060,038 ","17,095.8","8,544",Unified
07,61655,Brentwood Union Elementary," 63,352,476 ","8,262.9","7,667",Elementary
07,61663,Byron Union Elementary," 12,705,623 ","1,583.8","8,022",Elementary
07,61671,Canyon Elementary," 618,284 ",67.4,"9,173",Elementary
07,61697,John Swett Unified," 13,780,624 ","1,564.3","8,809",Unified
07,61705,Knightsen Elementary," 4,377,594 ",477.7,"9,164",Elementary
07,61713,Lafayette Elementary," 30,846,139 ","3,385.0","9,113",Elementary
07,61721,Liberty Union High," 56,134,337 ","7,390.0","7,596",High School
07,61739,Martinez Unified," 32,571,407 ","3,932.9","8,282",Unified
07,61747,Moraga Elementary," 17,030,309 ","1,809.1","9,414",Elementary
07,61754,Mt. Diablo Unified," 258,626,192 ","30,332.7","8,526",Unified
07,61762,Oakley Union Elementary," 34,480,661 ","4,702.2","7,333",Elementary
07,61770,Orinda Union Elementary," 24,238,510 ","2,431.9","9,967",Elementary
07,61788,Pittsburg Unified," 84,776,310 ","10,230.7","8,287",Unified
07,61796,West Contra Costa Unified," 255,530,369 ","28,020.5","9,119",Unified
07,61804,San Ramon Valley Unified," 240,714,519 ","30,599.4","7,867",Unified
07,61812,Walnut Creek Elementary," 28,688,626 ","3,459.0","8,294",Elementary
08,61820,Del Norte County Unified," 35,181,965 ","3,321.2","10,593",Unified
09,61838,Buckeye Union Elementary," 34,311,255 ","4,582.1","7,488",Elementary
09,61846,Camino Union Elementary," 3,662,189 ",417.6,"8,770",Elementary
09,61853,El Dorado Union High," 56,459,945 ","6,394.3","8,830",High School
09,61879,Gold Oak Union Elementary," 3,586,576 ",434.6,"8,253",Elementary
09,61887,Gold Trail Union Elementary," 4,371,621 ",577.1,"7,576",Elementary
09,61895,Indian Diggings Elementary," 271,936 ",17.7,"15,372",Elementary
09,61903,Lake Tahoe Unified," 33,072,213 ","3,534.4","9,357",Unified
09,61911,Latrobe Elementary," 1,575,368 ",124.4,"12,667",Elementary
09,61929,Mother Lode Union Elementary," 8,569,691 ","1,070.2","8,008",Elementary
09,61945,Pioneer Union Elementary," 3,003,540 ",305.9,"9,820",Elementary
09,61952,Placerville Union Elementary," 10,002,917 ","1,209.1","8,273",Elementary
09,61960,Pollock Pines Elementary," 6,044,299 ",674.2,"8,965",Elementary
09,61978,Rescue Union Elementary," 27,275,629 ","3,687.7","7,396",Elementary
09,61986,Silver Fork Elementary," 289,883 ",11.7,"24,840",Elementary
09,73783,Black Oak Mine Unified," 10,917,017 ","1,111.4","9,823",Unified
10,61994,Alvina Elementary," 1,546,090 ",172.3,"8,972",Elementary
10,62026,Big Creek Elementary," 1,070,377 ",56.5,"18,948",Elementary
10,62042,Burrel Union Elementary," 1,265,896 ",124.8,"10,145",Elementary
10,62109,Clay Joint Elementary," 1,644,445 ",245.6,"6,695",Elementary
10,62117,Clovis Unified," 303,835,543 ","38,845.2","7,822",Unified
10,62125,Coalinga/Huron Joint Unified," 36,436,049 ","4,048.3","9,000",Unified
10,62158,Fowler Unified," 19,558,630 ","2,333.2","8,383",Unified
10,62166,Fresno Unified," 602,188,446 ","65,542.3","9,188",Unified
10,62240,Kingsburg Elementary Charter," 17,816,085 ","2,309.6","7,714",Elementary
10,62257,Kingsburg Joint Union High," 9,331,031 ","1,118.3","8,344",High School
10,62265,Kings Canyon Joint Unified," 82,801,703 ","9,289.4","8,914",Unified
10,62281,Laton Joint Unified," 5,696,263 ",675.0,"8,439",Unified
10,62323,Monroe Elementary," 1,617,957 ",204.3,"7,921",Elementary
10,62331,Orange Center," 2,515,433 ",299.7,"8,393",Elementary
10,62356,Pacific Union Elementary," 2,853,235 ",345.9,"8,249",Elementary
10,62364,Parlier Unified," 34,489,454 ","3,199.6","10,779",Unified
10,62372,Pine Ridge Elementary," 1,710,372 ",85.7,"19,955",Elementary
10,62380,Raisin City Elementary," 2,721,646 ",307.7,"8,845",Elementary
10,62414,Sanger Unified," 79,955,126 ","9,197.8","8,693",Unified
10,62430,Selma Unified," 54,647,091 ","6,146.8","8,890",Unified
10,62513,Washington Colony Elementary," 3,246,760 ",402.8,"8,061",Elementary
10,62539,West Park Elementary," 2,815,188 ",339.4,"8,294",Elementary
10,62547,Westside Elementary," 2,507,415 ",226.3,"11,079",Elementary
10,73809,Firebaugh-Las Deltas Unified," 19,658,401 ","2,241.6","8,770",Unified
10,73965,Central Unified," 111,521,794 ","14,771.7","7,550",Unified
10,73999,Kerman Unified," 34,895,592 ","4,783.7","7,295",Unified
10,75127,Mendota Unified," 23,343,426 ","2,853.3","8,181",Unified
10,75234,Golden Plains Unified," 17,783,096 ","1,803.8","9,859",Unified
10,75275,Sierra Unified," 13,334,119 ","1,262.1","10,565",Unified
10,75408,Riverdale Joint Unified," 13,044,797 ","1,527.1","8,542",Unified
10,75598,Caruthers Unified," 12,345,500 ","1,350.7","9,140",Unified
10,76778,Washington Unified," 25,655,371 ","2,449.9","10,472",Unified
11,62554,Capay Joint Union Elementary," 1,232,194 ",196.0,"6,287",Elementary
11,62596,Lake Elementary," 1,126,774 ",165.1,"6,823",Elementary
11,62638,Plaza Elementary," 988,178 ",126.9,"7,788",Elementary
11,62646,Princeton Joint Unified," 2,293,010 ",181.3,"12,650",Unified
11,62653,Stony Creek Joint Unified," 2,063,461 ",91.0,"22,688",Unified
11,62661,Willows Unified," 10,494,518 ","1,367.4","7,675",Unified
11,75481,Orland Joint Unified," 16,844,677 ","2,109.5","7,985",Unified
11,76562,Hamilton Unified," 5,961,491 ",699.9,"8,517",Unified
12,62679,Arcata Elementary," 5,124,487 ",504.5,"10,158",Elementary
12,62687,Northern Humboldt Union High," 15,764,710 ","1,425.9","11,056",High School
12,62695,Big Lagoon Union Elementary," 630,928 ",50.3,"12,543",Elementary
12,62703,Blue Lake Union Elementary," 1,410,471 ",150.3,"9,384",Elementary
12,62729,Bridgeville Elementary," 625,263 ",38.0,"16,459",Elementary
12,62737,Cuddeback Union Elementary," 1,131,117 ",113.4,"9,979",Elementary
12,62745,Cutten Elementary," 3,703,155 ",546.4,"6,777",Elementary
12,62794,Fieldbrook Elementary," 1,027,656 ",136.0,"7,559",Elementary
12,62810,Fortuna Union High," 8,876,667 ","1,016.0","8,737",High School
12,62828,Freshwater Elementary," 2,390,685 ",260.3,"9,183",Elementary
12,62836,Garfield Elementary," 602,506 ",51.6,"11,688",Elementary
12,62851,Green Point Elementary," 215,394 ",7.4,"29,305",Elementary
12,62885,Hydesville Elementary," 1,246,561 ",169.4,"7,361",Elementary
12,62893,Jacoby Creek Elementary," 3,290,537 ",402.2,"8,182",Elementary
12,62901,Klamath-Trinity Joint Unified," 14,095,455 ",925.7,"15,228",Unified
12,62919,Kneeland Elementary," 417,469 ",31.8,"13,149",Elementary
12,62927,Loleta Union Elementary," 1,072,608 ",105.2,"10,194",Elementary
12,62935,Maple Creek Elementary," 349,011 ",10.9,"32,019",Elementary
12,62950,McKinleyville Union Elementary," 8,297,282 ","1,112.9","7,456",Elementary
12,62968,Orick Elementary," 296,864 ",8.5,"34,925",Elementary
12,62976,Pacific Union Elementary," 3,633,912 ",490.6,"7,407",Elementary
12,62984,Peninsula Union Elementary," 506,499 ",32.9,"15,381",Elementary
12,63008,Rio Dell Elementary," 2,431,256 ",305.9,"7,947",Elementary
12,63024,Scotia Union Elementary," 1,787,274 ",213.8,"8,362",Elementary
12,63032,South Bay Union Elementary," 4,059,822 ",420.7,"9,651",Elementary
12,63040,Southern Humboldt Joint Unified," 7,307,025 ",697.9,"10,471",Unified
12,63057,Trinidad Union Elementary," 1,466,036 ",156.7,"9,354",Elementary
12,75374,Ferndale Unified," 3,990,208 ",483.7,"8,250",Unified
12,75382,Mattole Unified," 1,123,664 ",60.4,"18,607",Unified
12,75515,Eureka City Unified," 32,128,700 ","3,510.1","9,153",Unified
12,76802,Fortuna Elementary," 9,964,317 ","1,105.4","9,014",Elementary
13,63073,Brawley Elementary," 30,028,199 ","3,691.3","8,135",Elementary
13,63081,Brawley Union High," 14,810,309 ","1,752.8","8,450",High School
13,63099,Calexico Unified," 76,329,067 ","8,654.3","8,820",Unified
13,63107,Calipatria Unified," 10,152,584 ","1,126.2","9,015",Unified
13,63115,Central Union High," 35,117,809 ","3,837.4","9,151",High School
13,63123,El Centro Elementary," 40,338,534 ","4,707.7","8,569",Elementary
13,63131,Heber Elementary," 9,588,935 ","1,157.2","8,287",Elementary
13,63149,Holtville Unified," 14,183,776 ","1,492.1","9,506",Unified
13,63164,Imperial Unified," 28,679,276 ","3,664.4","7,826",Unified
13,63172,Magnolia Union Elementary," 918,860 ",127.8,"7,192",Elementary
13,63180,McCabe Union Elementary," 8,980,107 ","1,317.7","6,815",Elementary
13,63198,Meadows Union Elementary," 4,480,959 ",454.8,"9,854",Elementary
13,63206,Mulberry Elementary," 716,378 ",76.2,"9,405",Elementary
13,63214,San Pasqual Valley Unified," 11,405,748 ",703.7,"16,207",Unified
13,63222,Seeley Union Elementary," 3,508,260 ",326.1,"10,759",Elementary
13,63230,Westmorland Union Elementary," 3,386,172 ",356.1,"9,510",Elementary
14,63248,Big Pine Unified," 2,608,395 ",170.4,"15,308",Unified
14,63271,Death Valley Unified," 1,090,076 ",24.5,"44,457",Unified
14,63289,Lone Pine Unified," 5,296,792 ",357.8,"14,803",Unified
14,63297,Owens Valley Unified," 1,564,102 ",56.7,"27,581",Unified
14,63305,Round Valley Joint Elementary," 1,339,074 ",128.3,"10,434",Elementary
14,76687,Bishop Unified," 18,065,673 ","1,838.8","9,825",Unified
15,63313,Arvin Union," 28,482,271 ","3,023.3","9,421",Elementary
15,63321,Bakersfield City Elementary," 248,117,955 ","28,098.6","8,830",Elementary
15,63339,Beardsley Elementary," 12,522,639 ","1,659.8","7,545",Elementary
15,63347,Belridge Elementary," 1,129,750 ",38.0,"29,722",Elementary
15,63354,Blake Elementary," 160,278 ",7.6,"21,006",Elementary
15,63362,Panama Buena Vista Union Elementary," 127,080,288 ","16,698.4","7,610",Elementary
15,63370,Buttonwillow Union Elementary," 2,937,656 ",326.1,"9,008",Elementary
15,63388,Caliente Union Elementary," 716,138 ",48.8,"14,681",Elementary
15,63404,Delano Union Elementary," 54,367,944 ","5,610.5","9,690",Elementary
15,63412,Delano Joint Union High," 42,789,659 ","3,987.0","10,732",High School
15,63420,Di Giorgio Elementary," 1,579,138 ",183.4,"8,610",Elementary
15,63438,Edison Elementary," 8,541,439 ","1,066.2","8,011",Elementary
15,63446,Elk Hills Elementary," 1,721,489 ",191.4,"8,997",Elementary
15,63461,Fairfax Elementary," 18,473,012 ","2,284.1","8,088",Elementary
15,63479,Fruitvale Elementary," 22,289,827 ","3,197.5","6,971",Elementary
15,63487,General Shafter Elementary," 1,757,449 ",144.1,"12,199",Elementary
15,63503,Greenfield Union Elementary," 67,982,662 ","8,794.8","7,730",Elementary
15,63529,Kern Union High," 325,660,869 ","34,224.9","9,515",High School
15,63545,Kernville Union Elementary," 7,017,446 ",788.9,"8,895",Elementary
15,63552,Lakeside Union Elementary," 9,776,652 ","1,239.6","7,887",Elementary
15,63560,Lamont Elementary," 24,765,490 ","2,813.7","8,802",Elementary
15,63578,Richland Union Elementary," 27,101,474 ","3,294.9","8,225",Elementary
15,63586,Linns Valley-Poso Flat Union," 403,163 ",27.8,"14,502",Elementary
15,63594,Lost Hills Union Elementary," 6,504,360 ",542.7,"11,986",Elementary
15,63610,Maple Elementary," 1,997,869 ",282.7,"7,067",Elementary
15,63628,Maricopa Unified," 3,349,468 ",309.2,"10,832",Unified
15,63651,McKittrick Elementary," 1,799,249 ",69.2,"26,001",Elementary
15,63669,Midway Elementary," 1,894,030 ",104.7,"18,097",Elementary
15,63677,Mojave Unified," 22,755,446 ","2,455.7","9,266",Unified
15,63685,Muroc Joint Unified," 15,184,185 ","1,905.4","7,969",Unified
15,63693,Norris Elementary," 23,904,529 ","3,767.6","6,345",Elementary
15,63719,Pond Union Elementary," 2,240,595 ",213.5,"10,496",Elementary
15,63750,Rosedale Union Elementary," 37,902,784 ","5,204.3","7,283",Elementary
15,63768,Semitropic Elementary," 2,892,002 ",262.8,"11,005",Elementary
15,63776,Southern Kern Unified," 26,713,658 ","2,879.7","9,277",Unified
15,63784,South Fork Union ," 2,382,107 ",242.3,"9,832",Elementary
15,63792,Standard Elementary," 23,058,075 ","2,763.0","8,345",Elementary
15,63800,Taft City," 16,839,972 ","1,928.7","8,731",Elementary
15,63818,Taft Union High," 20,724,567 ",971.6,"21,330",High School
15,63826,Tehachapi Unified," 32,981,285 ","3,981.4","8,284",Unified
15,63834,Vineland Elementary," 6,143,353 ",761.5,"8,067",Elementary
15,63842,Wasco Union Elementary," 25,229,204 ","3,405.9","7,407",Elementary
15,63859,Wasco Union High," 14,946,470 ","1,571.5","9,511",High School
15,73544,Rio Bravo-Greeley Union Elementary," 7,351,384 ",996.5,"7,377",Elementary
15,73742,Sierra Sands Unified," 43,274,531 ","4,655.8","9,295",Unified
15,73908,McFarland Unified," 31,015,975 ","3,192.4","9,716",Unified
15,75168,El Tejon Unified," 6,926,486 ",728.7,"9,505",Unified
16,63875,Armona Union Elementary," 7,025,824 ",924.9,"7,596",Elementary
16,63883,Central Union Elementary," 18,741,846 ","1,735.7","10,798",Elementary
16,63891,Corcoran Joint Unified," 26,745,565 ","3,097.6","8,634",Unified
16,63917,Hanford Elementary," 45,861,998 ","5,634.7","8,139",Elementary
16,63925,Hanford Joint Union High," 29,460,597 ","3,595.8","8,193",High School
16,63933,Island Union Elementary," 2,334,220 ",335.0,"6,967",Elementary
16,63941,Kings River-Hardwick Union Elementary," 5,232,074 ",733.1,"7,137",Elementary
16,63958,Kit Carson Union Elementary," 3,100,829 ",380.9,"8,140",Elementary
16,63966,Lakeside Union Elementary," 2,897,656 ",290.7,"9,968",Elementary
16,63974,Lemoore Union Elementary," 21,785,826 ","2,821.3","7,722",Elementary
16,63982,Lemoore Union High," 16,024,147 ","1,969.1","8,138",High School
16,63990,Pioneer Union Elementary," 10,746,794 ","1,554.3","6,914",Elementary
16,73932,Reef-Sunset Unified," 22,944,015 ","2,475.9","9,267",Unified
17,64014,Kelseyville Unified," 14,631,185 ","1,580.1","9,260",Unified
17,64022,Konocti Unified," 26,700,021 ","2,776.5","9,616",Unified
17,64030,Lakeport Unified," 12,115,116 ","1,427.1","8,489",Unified
17,64048,Lucerne Elementary," 2,047,148 ",247.8,"8,261",Elementary
17,64055,Middletown Unified," 12,678,170 ","1,444.3","8,778",Unified
17,64063,Upper Lake Union Elementary," 4,383,539 ",496.2,"8,834",Elementary
17,64071,Upper Lake Union High," 3,067,383 ",256.3,"11,967",High School
18,64089,Big Valley Joint Unified," 1,972,748 ",179.9,"10,968",Unified
18,64105,Janesville Union Elementary," 2,402,240 ",322.5,"7,449",Elementary
18,64113,Johnstonville Elementary," 1,575,153 ",215.3,"7,315",Elementary
18,64139,Lassen Union High," 7,656,781 ",853.8,"8,968",High School
18,64162,Ravendale-Termo Elementary," 260,835 ",9.2,"28,352",Elementary
18,64170,Richmond Elementary," 1,271,280 ",218.5,"5,819",Elementary
18,64188,Shaffer Union Elementary," 1,482,503 ",175.1,"8,467",Elementary
18,64196,Susanville Elementary," 6,839,301 ",970.4,"7,048",Elementary
18,64204,Westwood Unified," 2,179,359 ",168.1,"12,966",Unified
18,75036,Fort Sage Unified," 1,938,017 ",142.3,"13,615",Unified
19,64212,ABC Unified," 170,097,769 ","20,227.9","8,409",Unified
19,64246,Antelope Valley Union High," 193,183,524 ","20,304.6","9,514",High School
19,64261,Arcadia Unified," 74,841,963 ","9,481.5","7,893",Unified
19,64279,Azusa Unified," 85,801,584 ","9,191.2","9,335",Unified
19,64287,Baldwin Park Unified," 117,357,782 ","14,004.3","8,380",Unified
19,64295,Bassett Unified," 39,343,829 ","3,973.4","9,902",Unified
19,64303,Bellflower Unified," 103,281,947 ","12,969.1","7,964",Unified
19,64311,Beverly Hills Unified," 54,551,840 ","4,111.5","13,268",Unified
19,64329,Bonita Unified," 77,887,764 ","9,632.0","8,086",Unified
19,64337,Burbank Unified," 116,403,183 ","14,706.1","7,915",Unified
19,64345,Castaic Union," 23,272,316 ","2,559.3","9,093",Elementary
19,64352,Centinela Valley Union High," 67,093,178 ","6,042.6","11,103",High School
19,64378,Charter Oak Unified," 43,247,891 ","5,176.3","8,355",Unified
19,64394,Claremont Unified," 56,477,570 ","6,763.0","8,351",Unified
19,64436,Covina-Valley Unified," 109,044,805 ","12,243.5","8,906",Unified
19,64444,Culver City Unified," 56,332,868 ","6,442.0","8,745",Unified
19,64451,Downey Unified," 182,902,677 ","22,075.3","8,285",Unified
19,64469,Duarte Unified," 33,468,129 ","3,567.1","9,382",Unified
19,64477,Eastside Union Elementary," 26,997,759 ","3,123.4","8,644",Elementary
19,64485,East Whittier City Elementary," 71,607,505 ","8,929.8","8,019",Elementary
19,64501,El Monte City," 77,519,922 ","9,181.3","8,443",Elementary
19,64519,El Monte Union High," 86,872,660 ","9,081.9","9,565",High School
19,64527,El Rancho Unified," 78,350,125 ","9,039.4","8,668",Unified
19,64535,El Segundo Unified," 27,804,315 ","3,300.2","8,425",Unified
19,64550,Garvey Elementary," 44,983,741 ","5,123.1","8,781",Elementary
19,64568,Glendale Unified," 221,289,400 ","25,154.7","8,797",Unified
19,64576,Glendora Unified," 55,684,833 ","7,409.9","7,515",Unified
19,64584,Gorman Elementary," 956,408 ",98.2,"9,740",Elementary
19,64592,Hawthorne Elementary," 65,385,142 ","8,009.8","8,163",Elementary
19,64600,Hermosa Beach City Elementary," 10,489,875 ","1,390.5","7,544",Elementary
19,64626,Hughes-Elizabeth Lakes Union Elementary," 2,494,632 ",235.0,"10,615",Elementary
19,64634,Inglewood Unified," 105,881,599 ","11,319.1","9,354",Unified
19,64642,Keppel Union Elementary," 21,312,050 ","2,583.2","8,250",Elementary
19,64659,La Canada Unified," 36,138,857 ","3,954.2","9,139",Unified
19,64667,Lancaster Elementary," 108,310,007 ","13,433.1","8,063",Elementary
19,64683,Las Virgenes Unified," 90,865,317 ","10,715.4","8,480",Unified
19,64691,Lawndale Elementary," 49,419,875 ","5,598.7","8,827",Elementary
19,64709,Lennox," 50,790,627 ","4,955.9","10,249",Elementary
19,64717,Little Lake City Elementary," 35,715,774 ","4,481.5","7,970",Elementary
19,64725,Long Beach Unified," 662,722,019 ","77,043.7","8,602",Unified
19,64733,Los Angeles Unified," 5,501,618,471 ","526,883.3","10,442",Unified
19,64758,Los Nietos," 16,777,207 ","1,765.7","9,502",Elementary
19,64766,Lowell Joint Elementary," 23,466,381 ","3,129.5","7,498",Elementary
19,64774,Lynwood Unified," 120,427,470 ","14,138.0","8,518",Unified
19,64790,Monrovia Unified," 50,247,548 ","5,703.5","8,810",Unified
19,64808,Montebello Unified," 257,355,330 ","28,494.2","9,032",Unified
19,64816,Mountain View Elementary," 61,111,210 ","7,226.1","8,457",Elementary
19,64832,Newhall," 51,936,725 ","6,657.8","7,801",Elementary
19,64840,Norwalk-La Mirada Unified," 170,830,933 ","18,455.3","9,256",Unified
19,64857,Palmdale Elementary," 146,346,217 ","18,499.5","7,911",Elementary
19,64865,Palos Verdes Peninsula Unified," 95,598,629 ","11,381.9","8,399",Unified
19,64873,Paramount Unified," 125,293,334 ","15,276.7","8,202",Unified
19,64881,Pasadena Unified," 173,182,260 ","16,727.7","10,353",Unified
19,64907,Pomona Unified," 232,589,809 ","24,753.2","9,396",Unified
19,64931,Rosemead Elementary," 23,374,960 ","2,706.6","8,636",Elementary
19,64964,San Marino Unified," 33,152,454 ","3,062.6","10,825",Unified
19,64980,Santa Monica-Malibu Unified," 119,346,831 ","10,816.7","11,034",Unified
19,64998,Saugus Union," 75,431,061 ","9,707.1","7,771",Elementary
19,65029,South Pasadena Unified," 39,028,470 ","4,593.8","8,496",Unified
19,65037,South Whittier Elementary," 26,592,719 ","3,102.5","8,572",Elementary
19,65045,Sulphur Springs Union," 47,790,681 ","5,295.3","9,025",Elementary
19,65052,Temple City Unified," 44,157,212 ","5,827.6","7,577",Unified
19,65060,Torrance Unified," 193,416,211 ","23,382.6","8,272",Unified
19,65078,Valle Lindo Elementary," 9,318,099 ","1,183.4","7,874",Elementary
19,65094,West Covina Unified," 77,214,586 ","8,948.4","8,629",Unified
19,65102,Westside Union Elementary," 60,871,073 ","8,615.7","7,065",Elementary
19,65110,Whittier City Elementary," 51,647,845 ","5,979.7","8,637",Elementary
19,65128,Whittier Union High," 115,065,513 ","12,498.2","9,207",High School
19,65136,William S. Hart Union High," 181,536,435 ","21,663.1","8,380",High School
19,65151,Wilsona Elementary," 9,837,881 ","1,254.9","7,839",Elementary
19,65169,Wiseburn Elementary," 19,427,879 ","2,457.3","7,906",Elementary
19,73437,Compton Unified," 225,078,031 ","22,957.6","9,804",Unified
19,73445,Hacienda la Puente Unified," 166,937,453 ","19,260.4","8,667",Unified
19,73452,Rowland Unified," 127,127,607 ","14,304.3","8,887",Unified
19,73460,Walnut Valley Unified," 109,137,285 ","14,280.8","7,642",Unified
19,75291,San Gabriel Unified," 42,049,343 ","5,254.5","8,003",Unified
19,75309,Acton-Agua Dulce Unified," 10,671,775 ","1,219.7","8,750",Unified
19,75333,Manhattan Beach Unified," 58,091,103 ","6,671.4","8,707",Unified
19,75341,Redondo Beach Unified," 68,433,034 ","8,813.8","7,764",Unified
19,75713,Alhambra Unified," 154,478,604 ","17,304.4","8,927",Unified
20,65177,Alview-Dairyland Union Elementary," 2,979,754 ",355.2,"8,389",Elementary
20,65185,Bass Lake Joint Union Elementary," 6,614,164 ",813.2,"8,133",Elementary
20,65193,Chowchilla Elementary," 14,889,445 ","2,064.8","7,211",Elementary
20,65201,Chowchilla Union High," 8,167,973 ",965.5,"8,460",High School
20,65243,Madera Unified," 144,165,991 ","18,624.4","7,741",Unified
20,65276,Raymond-Knowles Union Elementary," 840,001 ",71.2,"11,791",Elementary
20,75580,Golden Valley Unified," 15,820,986 ","1,892.7","8,359",Unified
20,75606,Chawanakee Unified," 7,768,433 ",836.1,"9,291",Unified
20,76414,Yosemite Unified," 16,000,469 ","1,631.6","9,807",Unified
21,65300,Bolinas-Stinson Union Elementary," 3,312,211 ",114.5,"28,928",Elementary
21,65318,Dixie Elementary," 18,613,402 ","1,873.0","9,938",Elementary
21,65334,Kentfield Elementary," 13,666,157 ","1,197.8","11,409",Elementary
21,65342,Laguna Joint Elementary," 242,135 ",17.0,"14,268",Elementary
21,65359,Lagunitas Elementary," 3,487,185 ",287.5,"12,130",Elementary
21,65367,Larkspur-Corte Madera," 14,967,374 ","1,415.0","10,578",Elementary
21,65375,Lincoln Elementary," 184,375 ",11.8,"15,612",Elementary
21,65391,Mill Valley Elementary," 33,718,997 ","3,143.0","10,728",Elementary
21,65409,Nicasio," 922,135 ",50.4,"18,296",Elementary
21,65417,Novato Unified," 64,456,977 ","7,532.2","8,558",Unified
21,65425,Reed Union Elementary," 17,981,797 ","1,494.3","12,034",Elementary
21,65433,Ross Elementary," 5,903,521 ",364.7,"16,187",Elementary
21,65458,San Rafael City Elementary," 38,329,521 ","4,398.8","8,714",Elementary
21,65466,San Rafael City High," 26,267,356 ","2,121.8","12,380",High School
21,65474,Sausalito Elementary," 4,641,612 ",145.3,"31,938",Elementary
21,65482,Tamalpais Union High," 60,126,037 ","3,819.0","15,744",High School
21,65516,Union Joint Elementary," 193,612 ",10.5,"18,439",Elementary
21,73361,Shoreline Unified," 11,715,886 ",482.7,"24,271",Unified
21,75002,Ross Valley Elementary," 20,431,011 ","2,222.6","9,192",Elementary
22,65532,Mariposa County Unified," 15,615,895 ","1,570.4","9,944",Unified
23,65540,Anderson Valley Unified," 6,328,690 ",516.6,"12,251",Unified
23,65565,Fort Bragg Unified," 16,614,659 ","1,659.4","10,013",Unified
23,65573,Manchester Union Elementary," 629,361 ",51.2,"12,302",Elementary
23,65581,Mendocino Unified," 6,490,052 ",505.4,"12,840",Unified
23,65607,Round Valley Unified," 5,186,902 ",302.3,"17,156",Unified
23,65615,Ukiah Unified," 52,080,443 ","5,363.6","9,710",Unified
23,65623,Willits Unified," 13,925,073 ","1,458.3","9,549",Unified
23,73866,Potter Valley Community Unified," 3,421,377 ",235.7,"14,513",Unified
23,73916,Laytonville Unified," 4,124,829 ",373.7,"11,038",Unified
23,75218,Leggett Valley Unified," 1,998,792 ",102.1,"19,577",Unified
